record,speech,silence,noise,music
train_1747,67,22.44,9.46,0.63
train_1748,75,24.54,0,0
train_1749,32,9.17,58.76,0
train_1750,62,20.32,17.72,0
train_1751,86,8.82,5.46,0
train_1752,54,11.59,34.4,0
train_1753,90,10.2,0,0
train_1754,93,6.64,0,0
train_1755,48,5.58,46.44,0
train_1756,91,7.65,1.21,0
train_1757,89,11,0.15,0
train_1758,84,11.45,4.03,0
train_1759,69,30.85,0.54,0
train_1760,89,10.91,0,0
train_1761,88,11.75,0,0
train_1762,79,12.78,7.95,0
train_1763,91,6.51,2.47,0
train_1764,78,17.58,4.37,0
train_1765,66,26.29,7.88,0
train_1766,72,20.38,7.43,0
train_1767,47,5.55,32.53,14.93
train_1768,93,6.83,0,0
train_1769,71,16.21,12.83,0
train_1770,89,11.38,0,0
train_1771,84,16.22,0,0
train_1772,84,16.09,0,0
train_1773,97,2.97,0,0
train_1774,95,5.02,0,0
train_1775,87,11.86,0.77,0
train_1776,66,33.49,0,0
train_1777,88,3.69,8.3,0
train_1778,83,13.87,2.91,0
train_1779,77,21.72,1.14,0
train_1780,85,15.09,0.08,0
train_1781,83,16.56,0,0
train_1782,92,8.12,0.23,0
train_1783,91,9.31,0,0
train_1784,85,12.03,3.3,0
train_1785,91,8.62,0.65,0
train_1786,81,9.2,10.11,0
train_1787,52,21.07,26.45,0
train_1788,86,7.9,5.57,0
train_1789,67,12.78,20.54,0
train_1790,90,4.91,4.68,0
train_1791,63,22.57,6.79,7.39
train_1792,78,9.59,12.42,0
train_1793,43,0,57.41,0
train_1794,69,8.65,22.5,0
train_1795,0,3.93,96.04,0
train_1796,83,16.58,0,0
train_1797,0,0,99.96,0
train_1798,86,13.85,0,0
train_1799,58,33.33,8.33,0
train_1800,72,26.67,1.77,0
train_1801,93,6.08,0.9,0
train_1802,63,20.86,16.38,0
train_1803,0,30.2,69.76,0
train_1804,45,0,55.44,0
train_1805,30,13.24,56.89,0
train_1806,77,6.21,16.41,0
train_1807,80,20.02,0.07,0
train_1808,94,0.54,5.2,0
train_1809,0,26.18,73.78,0
train_1810,32,18.23,16.71,33.54
train_1811,68,11.91,14.17,5.71
train_1812,53,16.36,31.05,0
train_1813,80,18.7,1.01,0
train_1814,85,15.46,0,0
train_1815,78,2.24,19.7,0
train_1816,91,7.9,0.77,0
train_1817,53,9.99,36.71,0
train_1818,84,16.45,0,0
train_1819,29,13.05,57.81,0
train_1820,86,6.26,7.63,0
train_1821,89,10.67,0,0
train_1822,83,16.45,0,0
train_1823,86,11.81,2.34,0
train_1824,78,7.93,14.19,0
train_1825,88,12.23,0,0
train_1826,23,14.97,62.25,0
train_1827,90,10.38,0,0
train_1828,38,13.61,48.8,0
train_1829,78,10.96,8.69,2.18
train_1830,72,16.76,11.41,0
train_1831,80,13.02,7.33,0
train_1832,87,9.34,3.66,0
train_1833,91,8.31,1.11,0
train_1834,82,15.75,1.76,0
train_1835,79,15.98,5.39,0
train_1836,79,2.01,18.51,0
train_1837,89,5.77,4.9,0
train_1838,41,31.94,26.75,0
train_1839,90,3.38,6.94,0
train_1840,84,15.02,0.49,0
train_1841,53,11.08,35.86,0
train_1842,56,6.24,37.37,0
train_1843,62,38.4,0,0
train_1844,92,7.54,0.08,0
train_1845,85,14.65,0,0
train_1846,94,5.43,0.21,0
train_1847,70,16.23,13.55,0
train_1848,96,3.82,0.23,0
train_1849,52,27.51,20.65,0
train_1850,87,12.75,0,0
train_1851,92,1.34,0,6.74
train_1852,58,18.85,15.21,7.88
train_1853,87,13.16,0,0
train_1854,26,4.65,65.23,4.57
train_1855,57,17.23,25.62,0
train_1856,60,24.15,15.87,0
train_1857,64,18.04,18.28,0
train_1858,65,5.41,29.18,0
train_1859,89,8.59,2.43,0
train_1860,78,12.21,9.92,0
train_1861,92,7.24,0.33,0
train_1862,90,9.51,0,0
train_1863,91,9.15,0,0
train_1864,92,8.12,0,0
train_1865,93,6.98,0,0
train_1866,84,15.54,0.59,0
train_1867,76,24.2,0,0
train_1868,93,5.38,1.12,0
train_1869,88,12.09,0,0
train_1870,87,8.96,3.61,0
train_1871,50,0,49.6,0
train_1872,94,5.89,0.18,0
train_1873,87,13.24,0,0
train_1874,92,8.25,0,0
train_1875,76,22.31,1.23,0
train_1876,66,14.89,19.36,0
train_1877,39,24.08,32.34,4.71
train_1878,86,12.65,1.2,0
train_1879,89,11.11,0,0
train_1880,89,10.93,0,0
train_1881,88,12.12,0,0
train_1882,84,12.61,3.3,0
train_1883,54,11.79,34.2,0
train_1884,89,11.4,0,0
train_1885,60,33.71,4.18,2.53
train_1886,93,7.14,0.28,0
train_1887,75,25.2,0,0
train_1888,60,19.69,20.73,0
train_1889,84,16.28,0,0
train_1890,87,12.49,0,0
train_1891,22,18.23,60.22,0
train_1892,80,16.13,4.21,0
train_1893,88,10.01,1.89,0
train_1894,59,0.52,40.76,0
train_1895,91,8.91,0.42,0
train_1896,89,10.54,0.53,0
train_1897,79,20.69,0,0
train_1898,80,18.33,1.23,0
train_1899,93,5.74,1.7,0
train_1900,77,15.48,7.75,0
train_1901,56,9.53,33.92,0
train_1902,80,8.08,11.65,0
train_1903,66,8.47,25.54,0
train_1904,86,4.2,9.75,0
train_1905,83,10.21,0.73,5.74
train_1906,100,0.32,0,0
train_1907,91,8.88,0.39,0
train_1908,90,9.95,0.39,0
train_1909,86,14.23,0,0
train_1910,79,21.14,0,0
train_1911,62,24.74,12.85,0
train_1912,51,0,48.69,0
train_1913,86,12.93,0.94,0
train_1914,82,6.27,11.93,0
train_1915,56,28.46,15.27,0
train_1916,39,11.78,33.28,16.15
train_1917,85,15.25,0,0
train_1918,79,17.18,4.03,0
train_1919,81,19.4,0,0
train_1920,93,7.41,0,0
train_1921,44,0,56.19,0
train_1922,89,10.7,0,0
train_1923,66,2.36,31.37,0
train_1924,64,18.18,17.46,0
train_1925,82,4.74,13.24,0
train_1926,80,17.36,2.72,0
train_1927,93,6.81,0.54,0
train_1928,77,16.56,6.71,0
train_1929,81,18.75,0,0
train_1930,84,13.32,2.24,0
train_1931,89,10.59,0.5,0
train_1932,43,12.27,44.84,0
train_1933,87,12.77,0,0
train_1934,56,2.51,41.95,0
train_1935,88,11.23,0.4,0
train_1936,93,6.84,0,0
train_1937,36,6.53,57.13,0
train_1938,80,18.37,1.86,0
train_1939,84,16.28,0,0
train_1940,95,4.81,0,0
train_1941,42,25.84,15.39,16.29
train_1942,61,9.06,29.69,0
train_1943,90,9.82,0,0
train_1944,44,13.29,36.52,6.1
train_1945,91,7.88,0.96,0
train_1946,54,1.94,43.68,0
train_1947,83,9.65,7.35,0
train_1948,91,8.8,0,0
train_1949,42,18.68,38.95,0
train_1950,83,16.68,0,0
train_1951,60,0,31.54,8.14
train_1952,97,3.09,0,0
train_1953,92,8.07,0,0
train_1954,64,2.39,33.72,0
train_1955,90,9.11,1.27,0
train_1956,49,0,51.23,0
train_1957,87,4.26,9.03,0
train_1958,38,34.8,26.79,0
train_1959,43,0,56.53,0
train_1960,78,16.91,4.82,0
train_1961,88,10,1.52,0
train_1962,77,12.71,10.1,0
train_1963,56,25.6,18.23,0.31
train_1964,88,10.91,0.67,0
train_1965,64,8.92,27.23,0
train_1966,62,10.06,27.46,0
train_1967,92,7.83,0,0
train_1968,92,2.84,5.29,0
train_1969,46,1.8,51.73,0
train_1970,72,3.58,24.4,0
train_1971,55,0,44.99,0
train_1972,88,12.31,0,0
train_1973,91,8.72,0.04,0
train_1974,90,10.39,0,0
train_1975,92,8,0,0
train_1976,94,6.23,0,0
train_1977,45,2.02,34.74,17.69
train_1978,93,7.11,0,0
train_1979,92,6.79,0.98,0
train_1980,83,16.84,0,0
train_1981,81,13.58,5.36,0
train_1982,94,3.02,2.97,0
train_1983,90,10.07,0,0
train_1984,94,5.1,1.23,0
train_1985,91,9.38,0,0
train_1986,56,13.88,30.45,0
train_1987,89,10.18,0.54,0
train_1988,78,14.2,7.34,0
train_1989,26,24.72,49.44,0
train_1990,15,20.04,64.87,0
train_1991,94,6.41,0,0
train_1992,55,5.53,39.39,0
train_1993,92,7.89,0,0
train_1994,44,20.31,35.4,0
train_1995,50,3.3,44.41,2.06
train_1996,89,10.78,0,0
train_1997,84,16.02,0.06,0
train_1998,81,8.53,10.1,0
train_1999,86,12.3,1.82,0
train_2000,66,1.24,32.51,0
train_2001,88,11.61,0,0
train_2002,92,7.7,0,0
train_2003,84,6.37,10.1,0
train_2004,83,5.49,11.19,0
train_2005,63,28.29,8.84,0
train_2006,91,0,8.99,0
train_2007,33,11.93,55.35,0
train_2008,80,14.07,6,0
train_2009,24,13.58,61.95,0
train_2010,79,20.7,0,0
train_2011,49,11.74,38.3,1.03
train_2012,92,8.34,0,0
train_2013,79,21.2,0,0
train_2014,95,4.68,0,0
train_2015,85,15.28,0,0
train_2016,90,7.11,2.91,0.44
train_2017,94,5.83,0,0
train_2018,81,10.72,8.71,0
train_2019,79,11.62,9.48,0
train_2020,52,0,48.2,0
train_2021,87,13.39,0,0
train_2022,87,12.71,0,0
train_2023,92,8.15,0,0
train_2024,39,18.71,29.31,12.73
train_2025,72,27.51,0,0
train_2026,78,16.73,5.05,0
train_2027,76,15.22,9.01,0
train_2028,89,10.72,0,0
train_2029,27,2.26,70.91,0
train_2030,85,14.65,0.46,0
train_2031,77,12.43,10.34,0
train_2032,71,21.09,8.36,0
train_2033,87,13.15,0,0
train_2034,60,0,39.46,0
train_2035,89,11.27,0,0
train_2036,86,13.71,0,0
train_2037,84,10.3,6.15,0
train_2038,79,18.45,2.16,0
train_2039,96,4.34,0,0
train_2040,74,7.27,1.68,16.69
train_2041,89,8.32,2.31,0
train_2042,72,9.44,2.76,15.65
train_2043,73,23.89,2.69,0
train_2044,89,10.61,0,0
train_2045,83,8.93,8.17,0
train_2046,87,8.49,4.43,0
train_2047,67,12.63,12.98,7.14
train_2048,81,17.03,1.68,0
train_2049,15,0,84.85,0
train_2050,82,16.54,1.37,0
train_2051,82,15.2,2.64,0
train_2052,76,6.77,17.08,0
train_2053,69,6.51,24.01,0
train_2054,44,18.95,18.85,17.8
train_2055,98,1.75,0,0
train_2056,93,4.45,2.3,0
train_2057,84,16.31,0,0
train_2058,85,14.48,0,0
train_2059,76,14.58,9.34,0
train_2060,61,12.12,26.35,0
train_2061,78,13.09,8.39,0
train_2062,83,17.13,0,0
train_2063,90,9.81,0,0
train_2064,74,17.2,8.64,0
train_2065,90,9.77,0.55,0
train_2066,91,8.89,0,0
train_2067,89,10.52,0,0
train_2068,84,15.77,0,0
train_2069,72,16.77,1.65,9.25
train_2070,86,12.91,0.99,0
train_2071,54,9.39,36.25,0
train_2072,53,39.13,4.21,4.07
train_2073,91,9.18,0,0
train_2074,52,37.45,10.17,0
train_2075,81,17.26,1.48,0
train_2076,83,16.11,0.64,0
train_2077,0,1.08,98.87,0
train_2078,77,19.46,3.31,0
train_2079,87,10.14,3.09,0
train_2080,92,6.03,1.47,0
train_2081,90,6.97,3.25,0
train_2082,77,9.46,13.45,0
train_2083,79,13.57,0.37,6.71
train_2084,95,5.16,0,0
train_2085,87,3.98,8.65,0
train_2086,69,0,30.81,0
train_2087,57,27.03,15.88,0
train_2088,83,9.04,7.48,0
train_2089,74,22.1,3.42,0.61
train_2090,85,15.25,0,0
train_2091,87,9.79,3.65,0
train_2092,49,0,51.39,0
train_2093,51,22.59,26.21,0
train_2094,90,10.23,0,0
train_2095,92,8.18,0,0
train_2096,82,3.13,14.6,0
train_2097,94,4.26,1.92,0
train_2098,73,15.67,11.32,0
train_2099,77,19.99,2.87,0
train_2100,83,16.51,0,0.92
train_2101,76,22.42,1.77,0
train_2102,69,7.88,23.55,0
train_2103,75,12.39,12.91,0
train_2104,78,21.89,0,0
train_2105,72,21.26,6.29,0
train_2106,76,18.02,5.49,0
train_2107,10,0,89.35,0
train_2108,62,25.51,12.06,0
train_2109,75,7.41,18.05,0
train_2110,62,19.72,17.91,0
train_2111,83,16.64,0,0
train_2112,75,21.3,3.44,0
train_2113,84,13.84,2.45,0
train_2114,89,10.82,0,0
train_2115,76,24.09,0,0
train_2116,92,8.1,0,0
train_2117,96,4.3,0,0
train_2118,60,34.13,6.02,0
train_2119,82,16.99,0.61,0
train_2120,82,15.5,2.52,0
train_2121,87,13.14,0,0
train_2122,59,8.56,32.05,0
train_2123,94,4.99,0.43,0.14
train_2124,91,8.92,0,0
train_2125,46,20.12,33.94,0
train_2126,94,5.95,0,0
train_2127,84,16.1,0,0
train_2128,85,14.83,0,0
train_2129,88,11.49,0.43,0
train_2130,94,6.38,0,0
train_2131,63,4.42,32.59,0
train_2132,57,11.66,31.6,0
train_2133,84,16.39,0,0
train_2134,58,17.27,24.87,0
train_2135,58,15.74,19.72,6.07
train_2136,58,5.28,36.77,0
train_2137,76,21.64,2.25,0
train_2138,95,4.62,0,0
train_2139,67,10.55,22.29,0
train_2140,83,16.73,0,0
train_2141,88,9.02,2.6,0
train_2142,76,24.2,0,0
train_2143,86,12.43,1.13,0
train_2144,73,22.85,4.19,0
train_2145,93,6.5,0,0
train_2146,31,21.15,47.57,0
train_2147,31,14.5,54.29,0
train_2148,50,0,49.68,0
train_2149,73,10.38,16.21,0
train_2150,90,9.72,0,0
train_2151,56,13.83,30.2,0
train_2152,91,9.11,0,0
train_2153,96,4.43,0,0
train_2154,91,8.91,0,0
train_2155,90,9.12,0.91,0
train_2156,94,6.4,0,0
train_2157,59,36.32,5.12,0
train_2158,64,32.25,4.16,0
train_2159,77,21.04,1.87,0
train_2160,85,14.62,0,0
train_2161,89,11.17,0,0
train_2162,87,12.87,0,0
train_2163,88,12.05,0,0
train_2164,77,16.23,6.46,0
train_2165,84,13.08,2.41,0
train_2166,88,11.32,1.06,0
train_2167,0,0,99.92,0
train_2168,96,3.82,0,0
train_2169,84,11.01,5.07,0
train_2170,83,14.64,2.66,0
train_2171,91,8.54,0,0
train_2172,58,7.97,25.05,8.76
train_2173,91,8.78,0,0
train_2174,67,13.48,19.43,0
train_2175,88,11.47,0,0
train_2176,71,22.22,6.64,0
train_2177,72,9.48,2.88,15.97
train_2178,56,34.04,9.6,0
train_2179,72,2.89,24.98,0
train_2180,63,1.63,35.76,0
train_2181,87,12.83,0,0
train_2182,83,16.69,0,0
train_2183,64,30.77,5.2,0
train_2184,94,5.19,0.73,0
train_2185,88,12.18,0,0
train_2186,78,14.3,7.48,0
train_2187,49,23.04,27.46,0
train_2188,86,5.66,8.31,0
train_2189,95,4.05,0.47,0
train_2190,12,7.12,54.45,26.08
train_2191,87,9.74,2.8,0
train_2192,85,14.12,0.87,0
train_2193,74,26.08,0,0
train_2194,65,10.32,21.09,3.48
train_2195,92,6.71,1.33,0
train_2196,88,11.62,0.38,0
train_2197,78,19.5,2.88,0
train_2198,60,35.09,4.45,0
train_2199,88,10.47,1.22,0
train_2200,86,14.02,0,0
train_2201,88,11.64,0,0
train_2202,74,8.04,18.08,0
train_2203,68,15.7,16.64,0
train_2204,90,9.71,0,0
train_2205,90,10.25,0,0
train_2206,53,47.4,0,0
train_2207,93,6.54,0,0
train_2208,25,1.22,73.36,0
train_2209,65,23.48,11,0
train_2210,88,12.08,0,0
train_2211,93,6.25,0.61,0
train_2212,87,13.37,0,0
train_2213,72,14.36,12.33,0.99
train_2214,80,9.47,10.47,0
train_2215,85,14.1,0.54,0
train_2216,60,0,40.17,0
train_2217,87,13.26,0,0
train_2218,55,1.39,43.94,0
train_2219,69,25.69,5.45,0
train_2220,63,32.47,4.23,0
train_2221,79,20.93,0.49,0
train_2222,91,9.45,0,0
train_2223,91,8.7,0.51,0
train_2224,89,11.17,0,0
train_2225,97,2.53,0.41,0
train_2226,76,20.93,2.56,0
train_2227,93,5.96,1.12,0
train_2228,89,10.47,0,0
train_2229,87,12.36,0.19,0
train_2230,86,13.56,0,0
train_2231,92,7.12,0.51,0
train_2232,45,24.73,22.29,8.41
train_2233,4,2.57,25.43,68.15
train_2234,90,9.51,0,0
train_2235,64,13.18,22.5,0.49
train_2236,40,0,59.64,0
train_2237,86,13.19,0.91,0
train_2238,57,10.57,32.81,0
train_2239,74,25.65,0,0
train_2240,74,2.54,23.82,0
train_2241,0,60.66,39.3,0
train_2242,0,61.11,38.85,0
train_2243,58,16.25,26.05,0
train_2244,91,9.34,0,0
train_2245,86,13.56,0,0
train_2246,51,20.38,25.66,2.77
train_2247,92,7.74,0,0
train_2248,96,2.31,1.33,0
train_2249,87,12.48,0.8,0
train_2250,79,11.14,9.51,0
train_2251,61,29.23,9.34,0
train_2252,62,27.85,4.81,5.53
train_2253,85,15.3,0,0
train_2254,72,3.31,24.43,0
train_2255,22,6.16,61.26,10.72
train_2256,56,14.09,29.82,0
train_2257,76,20.06,3.76,0.41
train_2258,85,14.62,0,0
train_2259,25,0,71.8,3.24
train_2260,74,25.69,0,0
train_2261,54,3.16,26.29,16.57
train_2262,89,10.84,0.55,0
train_2263,86,13.95,0,0
train_2264,47,4.2,48.5,0
train_2265,52,2.38,32.5,13.17
train_2266,62,24.27,14,0
train_2267,85,13.21,2.06,0
train_2268,66,18.95,10.64,4.33
train_2269,76,17.85,6.08,0
train_2270,60,18.19,22.2,0
train_2271,84,0,16.25,0
train_2272,88,9.6,2.76,0
train_2273,88,11.6,0,0
train_2274,10,32.32,57.92,0
train_2275,0,0,99.96,0
train_2276,0,0,99.96,0
train_2277,88,10.8,1.13,0
train_2278,54,20.39,25.99,0
train_2279,91,8.73,0,0
train_2280,68,20.92,11,0
train_2281,46,47.17,6.37,0
train_2282,66,16.16,17.71,0
train_2283,84,15.52,0.87,0
train_2284,86,13.66,0,0
train_2285,63,23.55,6.37,7.22
train_2286,87,7.44,5.91,0
train_2287,59,16.24,24.45,0
train_2288,60,40.32,0,0
train_2289,46,12.7,26.48,14.56
train_2290,89,10.94,0,0
train_2291,47,14.49,38.64,0
train_2292,59,24.65,16.59,0
train_2293,94,5.73,0,0
train_2294,97,1.7,1.08,0
train_2295,23,4.69,68.51,3.61
train_2296,63,15.6,21.67,0
train_2297,78,19.21,2.73,0
train_2298,89,11.14,0,0
train_2299,85,14.76,0,0
train_2300,67,16.27,17.03,0
train_2301,62,14.37,23.06,0
train_2302,7,1.1,0,92
train_2303,86,2.05,11.51,0
train_2304,41,12.71,45.82,0
train_2305,49,0,50.48,0
train_2306,76,10.11,13.52,0
train_2307,81,17.63,1.5,0
train_2308,30,32.27,38.13,0
train_2309,76,22.31,2.11,0
train_2310,89,2.4,8.7,0
train_2311,85,3.75,11.08,0
train_2312,43,7.25,34.26,15.4
train_2313,91,8.91,0.16,0
train_2314,55,27.93,16.56,0
train_2315,64,27.66,7.95,0
train_2316,92,1.68,6.47,0
train_2317,79,20.55,0,0
train_2318,95,4.94,0,0
train_2319,59,10.94,29.72,0
train_2320,78,21.33,0.63,0
train_2321,86,12.91,0.99,0
train_2322,57,31.9,8.35,2.68
train_2323,44,25.22,31.04,0
train_2324,87,9.86,3.47,0
train_2325,68,24.01,7.7,0
train_2326,65,4.84,26.57,3.92
train_2327,90,9.53,0,0
train_2328,69,31.36,0,0
train_2329,66,19.93,13.59,0
train_2330,91,8.59,0.59,0
train_2331,85,14.77,0,0
train_2332,71,1.7,27.16,0
train_2333,65,20.41,14.19,0
train_2334,58,22.55,19.48,0
train_2335,69,20.52,10.46,0
train_2336,89,3.8,7.29,0
train_2337,81,17.66,0.83,0
train_2338,95,4.91,0,0
train_2339,72,2.82,19.06,5.71
train_2340,72,9.72,16.87,1.73
train_2341,68,30.14,1.89,0
train_2342,34,10.06,27.75,28.54
train_2343,88,9.28,2.2,0
train_2344,61,6.53,32.61,0
train_2345,84,15.84,0,0
train_2346,23,22.38,51.96,2.17
train_2347,61,24.38,14.4,0
train_2348,89,11.04,0,0
train_2349,90,10.32,0,0
train_2350,95,0.93,4.38,0
train_2351,81,15.77,3.51,0
train_2352,64,36.19,0,0
train_2353,57,26.57,16.32,0
train_2354,65,8.85,2.27,23.77
train_2355,38,39.57,22.49,0
train_2356,56,27.62,16.09,0
train_2357,79,5.93,15.17,0
train_2358,46,2.96,51.27,0
train_2359,55,3.87,40.81,0
train_2360,73,2.27,21.95,2.39
train_2361,85,13.36,1.57,0
train_2362,91,8.92,0.31,0
train_2363,80,6.74,12.9,0
train_2364,89,11.26,0,0
train_2365,82,13.56,4.02,0
train_2366,51,0,49.37,0
train_2367,60,12.24,27.5,0
train_2368,61,15.52,21.58,1.63
train_2369,95,5.28,0,0
train_2370,57,0,42.83,0
train_2371,92,3.51,4.47,0
train_2372,91,7.53,1.08,0
train_2373,89,7.85,2.62,0
train_2374,92,2.21,5.9,0
train_2375,95,5.27,0,0
train_2376,54,10.48,35.23,0
train_2377,85,0,14.85,0
train_2378,84,0.46,15.62,0
train_2379,22,1.76,54.41,21.8
train_2380,67,7.59,25.19,0
train_2381,77,15.41,7.45,0
train_2382,45,0,55.08,0
train_2383,81,19.26,0,0
train_2384,88,9.55,2.89,0
train_2385,92,7.72,0,0
train_2386,54,1.2,15.53,29.56
train_2387,51,0,48.76,0
train_2388,81,17.12,1.88,0
train_2389,82,12.58,5.77,0
train_2390,79,15.1,6.18,0
train_2391,76,17.25,6.48,0
train_2392,79,15.69,4.82,0
train_2393,89,11.14,0,0
train_2394,83,10.74,6,0
train_2395,88,11.49,0,0
train_2396,79,13.39,5.49,1.92
train_2397,91,8.25,0.83,0
train_2398,94,5.63,0.07,0
train_2399,72,4.94,22.79,0
train_2400,88,9.18,3.07,0
train_2401,96,3.6,0.68,0
train_2402,80,13.27,6.35,0
train_2403,82,12.52,5.53,0
train_2404,84,13.68,2.06,0
train_2405,78,16.34,5.38,0
train_2406,90,9.92,0,0
train_2407,96,3.4,0.22,0
train_2408,56,8.86,35.17,0
train_2409,83,14.01,3.42,0
train_2410,95,4.47,0.33,0
train_2411,39,21.47,39.82,0
train_2412,41,15.69,43.22,0
train_2413,92,8.06,0.12,0
train_2414,79,18.49,2.23,0
train_2415,70,17.91,12.12,0
train_2416,35,28.52,36.32,0
train_2417,63,13.46,23.39,0
train_2418,88,12.05,0,0
train_2419,74,19.67,6.2,0
train_2420,86,13.57,0,0
train_2421,73,20.03,6.46,0
train_2422,93,7.17,0,0
train_2423,70,8.63,20.87,0
train_2424,78,16.29,5.52,0
train_2425,91,9.17,0.11,0
train_2426,90,9.44,0.5,0
train_2427,83,13.42,3.57,0
train_2428,88,11.54,0,0
train_2429,84,13.43,2.34,0
train_2430,86,7.32,6.54,0
train_2431,95,4.63,0,0
train_2432,93,6.6,0,0
train_2433,89,11.32,0,0
train_2434,47,1.01,51.65,0
train_2435,56,6.37,37.26,0
train_2436,59,6.51,34.51,0
train_2437,88,0.57,11.44,0
train_2438,89,10.76,0.29,0
train_2439,90,10.32,0,0
train_2440,68,20.05,11.6,0
train_2441,91,8.64,0,0
train_2442,53,5.39,41.28,0
train_2443,80,16.83,3.56,0
train_2444,86,14.17,0,0
train_2445,94,0.57,5.66,0
train_2446,91,8.7,0,0
train_2447,62,17.53,20.64,0
train_2448,79,11.42,9.89,0
train_2449,65,0,34.76,0
train_2450,79,17.32,3.16,0
train_2451,88,8.82,3.51,0
train_2452,53,2.02,45.08,0
train_2453,90,9.94,0.35,0
train_2454,86,14.39,0,0
train_2455,80,7.95,12.46,0
train_2456,69,27.57,3.88,0
train_2457,83,17.19,0,0
train_2458,83,13.33,3.76,0
train_2459,45,10.63,44.63,0
train_2460,90,9.66,0,0
train_2461,87,10.54,2.29,0
train_2462,67,14.18,15.21,3.88
train_2463,38,11.65,50.57,0
train_2464,69,3.73,27.34,0
train_2465,88,11.77,0.18,0
train_2466,71,15.23,13.53,0
train_2467,85,12.79,2.63,0
train_2468,82,18.45,0,0
train_2469,70,29.72,0,0
train_2470,93,7.02,0,0
train_2471,87,2.43,10.9,0
train_2472,91,8.36,0.39,0
train_2473,83,8.06,8.59,0
train_2474,96,3.59,0.35,0
train_2475,88,12.22,0,0
train_2476,82,17.42,0.59,0
train_2477,87,9.61,3.32,0
train_2478,65,25.87,9.35,0
train_2479,80,7.86,12.54,0
train_2480,64,3.03,32.7,0
train_2481,89,10.8,0,0
train_2482,84,14.18,1.98,0
train_2483,70,19.77,10.26,0
train_2484,8,6.28,4.5,81.47
train_2485,83,3.62,12.92,0
train_2486,84,4.14,12.22,0
train_2487,60,34.95,5.18,0
train_2488,66,8.66,25.39,0
train_2489,92,7.03,0.56,0
train_2490,84,11.09,4.49,0
train_2491,47,46.4,6.5,0
train_2492,85,15.11,0,0
train_2493,63,16.64,20.11,0
train_2494,89,10.59,0.48,0
train_2495,91,9.09,0,0
train_2496,45,16.85,37.86,0
train_2497,88,11.76,0,0
train_2498,87,11.76,1.27,0
train_2499,93,4.5,2.79,0
train_2500,90,10.22,0,0
train_2501,87,12.44,0,0
train_2502,98,0.47,1.98,0
train_2503,84,2.56,13.37,0
train_2504,92,8.23,0,0
train_2505,89,6.71,4.15,0
train_2506,88,5.77,6.2,0
train_2507,94,3.59,1.94,0
train_2508,83,14.55,2.34,0
train_2509,93,5.99,0.88,0
train_2510,72,6.97,17.17,3.5
train_2511,88,11.91,0,0
train_2512,88,11.47,0,0
train_2513,75,25.35,0,0
train_2514,87,11.1,1.62,0
train_2515,76,7.78,1.63,14.75
train_2516,87,12.58,0,0
train_2517,88,9,3.41,0
train_2518,95,1.55,3.3,0
train_2519,83,16.89,0,0
train_2520,80,19.26,0.45,0
train_2521,94,5.25,0.74,0
train_2522,89,11.16,0,0
train_2523,95,1.97,3.29,0
train_2524,85,15.27,0,0
train_2525,53,12.66,34.21,0
train_2526,90,3.75,6.34,0
train_2527,94,6.15,0,0
train_2528,77,22.05,1.29,0
train_2529,90,10.31,0,0
train_2530,85,15.15,0,0
train_2531,64,4.92,30.98,0
train_2532,97,2.92,0.55,0
train_2533,70,4.33,25.86,0
train_2534,84,16.15,0,0
train_2535,85,14.21,0.81,0
train_2536,87,13.25,0,0
train_2537,90,9.27,0.57,0
train_2538,43,49.36,7.18,0
train_2539,94,6.34,0,0
train_2540,85,5.47,1.09,8.86
train_2541,94,3.84,1.98,0
train_2542,68,23.14,0,9.22
train_2543,57,42.71,0,0
train_2544,78,14.48,7.85,0
train_2545,71,8.13,13.89,7.09
train_2546,67,30.98,1.78,0
train_2547,85,4.47,6.76,3.26
train_2548,93,7.07,0,0
train_2549,87,12.56,0,0
train_2550,84,12.32,3.42,0
train_2551,96,3.61,0,0
train_2552,86,3.3,10.72,0
train_2553,90,10.38,0,0
train_2554,42,5.87,37.9,14.64
train_2555,80,20.15,0,0
train_2556,87,13.15,0,0
train_2557,62,25.9,11.61,0
train_2558,64,3.54,32.86,0
train_2559,93,6.72,0,0
train_2560,67,17.75,3.4,11.77
train_2561,84,16.15,0,0
train_2562,85,13.1,2.06,0
train_2563,92,7.62,0,0
train_2564,96,4.01,0,0
train_2565,60,6.29,33.47,0
train_2566,93,7.16,0,0
train_2567,83,16.44,0.8,0
train_2568,75,10.59,14.42,0
train_2569,88,11.45,1,0
train_2570,80,19.75,0,0
train_2571,78,1.39,21.04,0
train_2572,83,16.23,0.4,0
train_2573,90,9.52,0.9,0
train_2574,97,3.44,0,0
train_2575,83,11.74,5.07,0
train_2576,95,0.27,4.35,0
train_2577,94,5.83,0.18,0
train_2578,77,18.77,3.91,0
train_2579,77,9.69,13,0
train_2580,87,7.5,5.3,0
train_2581,68,32.29,0,0
train_2582,91,9.2,0,0
train_2583,86,13.69,0,0
train_2584,78,11.01,1.65,9.11
train_2585,87,13.18,0,0
train_2586,82,16.32,1.59,0
train_2587,60,29.64,10.32,0
train_2588,89,10.98,0,0
train_2589,89,10.86,0,0
train_2590,53,5.38,41.83,0
train_2591,93,7.01,0,0
train_2592,84,15.93,0.53,0
train_2593,0,0,99.94,0
train_2594,96,4.12,0,0
